2025-08-06 10:21:21,887 | INFO | 第42页: 20条数据
2025-08-06 10:21:23,652 | INFO | 第43页: 20条数据
2025-08-06 10:21:25,279 | INFO | 第44页: 20条数据
2025-08-06 10:21:27,289 | INFO | 第45页: 20条数据
2025-08-06 10:21:29,071 | INFO | 第46页: 20条数据
2025-08-06 10:21:30,623 | INFO | 第47页: 20条数据
2025-08-06 10:21:32,413 | INFO | 第48页: 20条数据
2025-08-06 10:21:34,526 | INFO | 第49页: 20条数据
2025-08-06 10:21:36,147 | INFO | 第50页: 20条数据
2025-08-06 10:21:37,410 | INFO | 爬取完成: 1000条数据
2025-08-06 10:21:38,142 | INFO | Excel保存成功: 基金从业资格_2025-08-06.xlsx
2025-08-06 10:21:38,234 | ERROR | 数据库保存失败: 'cryptography' package is required for sha256_password or caching_sha2_password auth methods
2025-08-06 10:21:38,234 | INFO | 基金从业资格爬取完成: 1000 条数据
2025-08-06 10:21:38,235 | INFO | Excel文件: 基金从业资格_2025-08-06.xlsx
2025-08-06 10:21:38,235 | INFO | 数据库表: fund_personnel
2025-08-06 10:21:38,235 | INFO | ==================================================
